category	entry_id	openalex_id	doi	publication_year	authors
fields	https://openalex.org/fields/25	https://openalex.org/W1781458262	https://doi.org/10.1016/0738-3991(84)90022-3	1984	Cynthia J. Stewart
fields	https://openalex.org/fields/25	https://openalex.org/W2081693079	https://doi.org/10.1063/1.328693	1981	Michele Parrinello, A. Rahman
fields	https://openalex.org/fields/25	https://openalex.org/W2150981663	https://doi.org/10.1002/jcc.20289	2005	J. C. Phillips, Rosemary Braun, Wei Wang, James C. Gumbart, Emad Tajkhorshid, Elizabeth Villa, Christophe Chipot, Robert D. Skeel, Laxmikant V. Kalé, Klaus Schulten
fields	https://openalex.org/fields/25	https://openalex.org/W2135732933	https://doi.org/10.1016/s0169-409x(00)00129-0	2001	Christopher A. Lipinski, Franco Lombardo, Beryl W. Dominy, Paul J. Feeney
fields	https://openalex.org/fields/25	https://openalex.org/W1485283179	https://doi.org/10.31399/asm.hb.v03.a0006247	2016	T. B. Massalski, J. L. Murray, L. H. Bennett, H. H. Baker
fields	https://openalex.org/fields/25	https://openalex.org/W2148066840	https://doi.org/10.1107/s0108767390000277	1990	George M. Sheldrick
fields	https://openalex.org/fields/25	https://openalex.org/W2016260972	https://doi.org/10.1107/s0021889869006558	1969	H. M. Rietveld
fields	https://openalex.org/fields/25	https://openalex.org/W2042602209	https://doi.org/10.1038/359710a0	1992	Charles T. Kresge, M. E. Leonowicz, Wiesław J. Roth, J.C. Vartuli, Jeffrey S. Beck
fields	https://openalex.org/fields/25	https://openalex.org/W1995017064	https://doi.org/10.1107/s0907444998003254	1998	Axel T. Brünger, Paul D. Adams, G. Marius Clore, Warren L. DeLano, Piet Gros, Ralf W. Grosse‐Kunstleve, Jiansheng Jiang, John Kuszewski, Michaël Nilges, Neesh Pannu, Randy J. Read, Luke M. Rice, Thomas Simonson, Gregory L. Warren
fields	https://openalex.org/fields/25	https://openalex.org/W1897085524	https://doi.org/10.1002/0470027320.s4104	2001	Kazuo Nakamoto
fields	https://openalex.org/fields/25	https://openalex.org/W2085093563	https://doi.org/10.1063/1.1564060	2003	Jochen Heyd, Gustavo E. Scuseria, Matthias Ernzerhof
fields	https://openalex.org/fields/25	https://openalex.org/W2045596260	https://doi.org/10.1103/physrevb.43.1993	1991	N. Troullier, José Luı́s Martins
fields	https://openalex.org/fields/25	https://openalex.org/W11476871	https://doi.org/10.1038/318162a0	1985	Harold W. Kroto, J. R. Heath, Sean C. O’Brien, R. F. Curl, R. E. Smalley
fields	https://openalex.org/fields/25	https://openalex.org/W2053328406	https://doi.org/10.1038/nmat2297	2008	Patrice Simon, Yury Gogotsi
fields	https://openalex.org/fields/25	https://openalex.org/W2008708467	https://doi.org/10.1002/bip.360221211	1983	Wolfgang Kabsch, Christian Sander
fields	https://openalex.org/fields/25	https://openalex.org/W1966078827	https://doi.org/10.1021/ct700301q	2008	Berk Hess, Carsten Kutzner, David van der Spoel, Erik Lindahl
fields	https://openalex.org/fields/25	https://openalex.org/W2038840577	https://doi.org/10.1107/s0907444996012255	1997	Garib N. Murshudov, A. A. Vagin, E. J. Dodson
fields	https://openalex.org/fields/25	https://openalex.org/W1966182479	https://doi.org/10.1063/1.448975	1985	P. Jeffrey Hay, Willard R. Wadt
fields	https://openalex.org/fields/25	https://openalex.org/W4248872320	https://doi.org/10.1107/s0907444909047337	2010	Wolfgang Kabsch
fields	https://openalex.org/fields/25	https://openalex.org/W2162166182	https://doi.org/10.1002/jcc.540040211	1983	Bernard R. Brooks, Robert E. Bruccoleri, Barry D. Olafson, David J. States, S. Swaminathan, Martin Karplus
fields	https://openalex.org/fields/25	https://openalex.org/W2115786064	https://doi.org/10.1038/nnano.2012.193	2012	Qing Hua Wang, Kourosh Kalantar‐zadeh, András Kis, Jonathan N. Coleman, Michael S. Strano
fields	https://openalex.org/fields/25	https://openalex.org/W2145538332	https://doi.org/10.1107/s090744490804362x	2009	Anthony L. Spek
fields	https://openalex.org/fields/25	https://openalex.org/W625827176	https://doi.org/10.1107/s0567740876006080	1976	Norman Fordyce McKerron Henry, Kathleen Lonsdale, John S. Kasper, C. H. MacGillavry, G. D. Rieck, James A. Ibers, Walter C. Hamilton
fields	https://openalex.org/fields/25	https://openalex.org/W2141885858	https://doi.org/10.1093/nar/30.1.276	2002	Alex Bateman, Ewan Birney, Lorenzo Cerruti, Richard Durbin, Laurence Etwiller, Sean R. Eddy, Sam Griffiths‐Jones, Kevin Howe, Mhairi Marshall, Erik L L Sonnhammer
fields	https://openalex.org/fields/25	https://openalex.org/W2028231353	https://doi.org/10.1107/s0021889891004399	1991	P. Kraulis
fields	https://openalex.org/fields/25	https://openalex.org/W2052956262	https://doi.org/10.1149/1.2428700	1958	Max Hansen, K. Anderko, H. W. Salzberg
fields	https://openalex.org/fields/25	https://openalex.org/W2136334331	https://doi.org/10.1103/physrevlett.97.187401	2006	Andrea C. Ferrari, Jannik C. Meyer, Vittorio Scardaci, Cinzia Casiraghi, Michele Lazzeri, Francesco Mauri, S. Piscanec, Da Jiang, Kostya S. Novoselov, S. Roth, A. K. Geǐm
fields	https://openalex.org/fields/25	https://openalex.org/W2044940178	https://doi.org/10.1103/physrev.46.618	1934	CHR. KN. MØLLER, M. S. Plesset
fields	https://openalex.org/fields/25	https://openalex.org/W1998981899	https://doi.org/10.1016/0921-4526(93)90108-i	1993	J. Rodrı́guez-Carvajal
fields	https://openalex.org/fields/25	https://openalex.org/W2070227796	https://doi.org/10.1107/s0909049505012719	2005	Bruce Ravel, M. Newville
fields	https://openalex.org/fields/25	https://openalex.org/W2027408247	https://doi.org/10.1021/jp973084f	1998	Alexander D. MacKerell, Donald Bashford, M. Bellott, Roland L. Dunbrack, Jeffrey D. Evanseck, Martin J. Field, Stefan Fischer, Jun Gao, Hong Guo, Sookhee Ha, Diane Joseph‐McCarthy, L. Kuchnir, Krzysztof Kuczera, Frankie Tat Kwong Lau, Carla Mattos, Stephen W. Michnick, Thuy T. M. Ngo, Dzung T. Nguyen, Blaise Prod'hom, W. E. Reiher, Benoı̂t Roux, Michael Schlenkrich, Jeremy C. Smith, Roland H. Stote, John E. Straub, Masakatsu Watanabe, Joanna Wiórkiewicz-Kuczera, Tyler Yin, Martin Karplus
fields	https://openalex.org/fields/25	https://openalex.org/W2089124524	https://doi.org/10.1016/0021-9797(68)90272-5	1968	Werner Stöber, Arthur G. Fink, Ernst Bohn
fields	https://openalex.org/fields/25	https://openalex.org/W2017871657	https://doi.org/10.1103/physrevlett.105.136805	2010	Kin Fai Mak, Changgu Lee, James Hone, Jie Shan, Tony F. Heinz
fields	https://openalex.org/fields/25	https://openalex.org/W1485300768	https://doi.org/10.1007/bf01303701	1986	J. G. Bednorz, K. A. M�ller
fields	https://openalex.org/fields/25	https://openalex.org/W2235679284	https://doi.org/10.1103/physrevb.61.14095	2000	Andrea C. Ferrari, John Robertson
fields	https://openalex.org/fields/25	https://openalex.org/W2141939342	https://doi.org/10.1126/science.1230444	2013	Hiroyasu Furukawa, Kyle E. Cordova, M. O’Keeffe, Omar M. Yaghi
fields	https://openalex.org/fields/25	https://openalex.org/W2021994802	https://doi.org/10.1038/nnano.2010.279	2011	Branimir Radisavljevic, Aleksandra Rađenović, Jacopo Brivio, Valentina Giacometti, András Kis
fields	https://openalex.org/fields/25	https://openalex.org/W1988147327	https://doi.org/10.1149/1.2428174	1961	John D. Ferry, H. S. Myers
fields	https://openalex.org/fields/25	https://openalex.org/W2331727781	https://doi.org/10.1016/0306-4549(89)90016-9	1989	James D. Patterson
fields	https://openalex.org/fields/25	https://openalex.org/W2154714625	https://doi.org/10.1107/s0907444909042073	2009	Vincent B. Chen, W.B. Arendall, Jeffrey J. Headd, D.A. Keedy, Robert M. Immormino, Gary J. Kapral, Laura W. Murray, Jane S. Richardson, David Richardson
fields	https://openalex.org/fields/25	https://openalex.org/W2128654538	https://doi.org/10.1016/j.carbon.2007.02.034	2007	Sasha Stankovich, Dmitriy A. Dikin, Richard D. Piner, Kevin A. Kohlhaas, Alfred Kleinhammes, Yuanyuan Jia, Yue Wu, SonBinh T. Nguyen, Rodney S. Ruoff
fields	https://openalex.org/fields/25	https://openalex.org/W2109401564	https://doi.org/10.1016/s0022-5320(69)90033-1	1969	Arthur R. Spurr
fields	https://openalex.org/fields/25	https://openalex.org/W2166689829	https://doi.org/10.1107/s0021889802022112	2003	Anthony L. Spek
fields	https://openalex.org/fields/25	https://openalex.org/W2078792724	https://doi.org/10.1126/science.1158877	2009	A. K. Geǐm
fields	https://openalex.org/fields/25	https://openalex.org/W2013083986	https://doi.org/10.1107/s0108767390010224	1991	T. Alwyn Jones, Jin-yu Zou, Sandra W. Cowan, Morten Kjeldgaard
fields	https://openalex.org/fields/25	https://openalex.org/W2118492507	https://doi.org/10.1038/nature04235	2005	Yuanbo Zhang, Yan‐Wen Tan, H. L. Störmer, Philip Kim
fields	https://openalex.org/fields/25	https://openalex.org/W2020332193	https://doi.org/10.1103/revmodphys.83.1057	2011	Xiao-Liang Qi, Shou-Cheng Zhang
fields	https://openalex.org/fields/25	https://openalex.org/W2065283382	https://doi.org/10.1006/jmbi.1993.1626	1993	Andrej Šali, Tom L. Blundell
fields	https://openalex.org/fields/25	https://openalex.org/W2146564548	https://doi.org/10.1021/nl0731872	2008	Alexander A. Balandin, Suchismita Ghosh, Wenzhong Bao, Irene Calizo, Desalegne Teweldebrhan, Feng Miao, Chun Ning Lau
fields	https://openalex.org/fields/25	https://openalex.org/W2152123134	https://doi.org/10.1039/tf9444000546	1944	A. B. D. Cassie, S. Baxter
fields	https://openalex.org/fields/25	https://openalex.org/W2101977779	https://doi.org/10.1038/nature04969	2006	Sasha Stankovich, Dmitriy A. Dikin, Geoffrey Dommett, K. Kohlhaas, Eric Zimney, Eric A. Stach, Richard D. Piner, SonBinh T. Nguyen, Rodney S. Ruoff
fields	https://openalex.org/fields/25	https://openalex.org/W2096105657	https://doi.org/10.1098/rspa.1957.0133	1957	J. D. Eshelby
fields	https://openalex.org/fields/25	https://openalex.org/W4241456496	https://doi.org/10.1038/35104607	2001	Michaël Grätzel
fields	https://openalex.org/fields/25	https://openalex.org/W1964740351	https://doi.org/10.1021/ac60131a045	1957	H.E. Kissinger
fields	https://openalex.org/fields/25	https://openalex.org/W2077228161	https://doi.org/10.1021/cr030698+	2003	Marie‐Christine Daniel, Didier Astruc
fields	https://openalex.org/fields/25	https://openalex.org/W2049475242	https://doi.org/10.1021/j100308a038	1987	Herman J. C. Berendsen, J. Raúl Grigera, Tjerk P. Straatsma
fields	https://openalex.org/fields/25	https://openalex.org/W1533058090		1959	S. Timoshenko, S. Woinowsky-Krieger
fields	https://openalex.org/fields/25	https://openalex.org/W1986731219	https://doi.org/10.1103/physrevb.57.1505	1998	S. L. Dudarev, Gianluigi A. Botton, Sergey Y. Savrasov, C. J. Humphreys, A. P. Sutton
fields	https://openalex.org/fields/25	https://openalex.org/W2111062994	https://doi.org/10.1126/science.1061051	2001	Ryoji Asahi, Takeshi Morikawa, Takeshi Ohwaki, Koichi Aoki, Yasunori Taga
fields	https://openalex.org/fields/25	https://openalex.org/W2159752439	https://doi.org/10.1524/zkri.220.5.567.65075	2005	Stewart J. Clark, Matthew Segall, Chris J. Pickard, Phil Hasnip, Matt Probert, Keith Refson, M. C. Payne
fields	https://openalex.org/fields/25	https://openalex.org/W2108921801	https://doi.org/10.1107/s0907444910045749	2011	Martyn Winn, Charles Ballard, Kevin Cowtan, E.J. Dodson, Paul Emsley, Phil Evans, Ronan M. Keegan, Eugene Krissinel, Andrew G. W. Leslie, Airlie J. McCoy, Stuart McNicholas, Garib N. Murshudov, Neesh Pannu, Elizabeth Potterton, Harold R. Powell, Randy J. Read, Alexei A. Vagin, Keith S. Wilson
fields	https://openalex.org/fields/25	https://openalex.org/W2047968138	https://doi.org/10.1088/0965-0393/18/1/015012	2009	Alexander Stukowski
fields	https://openalex.org/fields/25	https://openalex.org/W2122765624	https://doi.org/10.1103/physrevlett.85.3966	2000	J. B. Pendry
fields	https://openalex.org/fields/25	https://openalex.org/W2112850441	https://doi.org/10.1039/b810189b	2008	Jeng‐Da Chai, Martin Head‐Gordon
fields	https://openalex.org/fields/25	https://openalex.org/W1995041236	https://doi.org/10.1126/science.279.5350.548	1998	Dongyuan Zhao, Jianglin Feng, Qisheng Huo, Nicholas A. Melosh, Glenn H. Fredrickson, Bradley F. Chmelka, Galen D. Stucky
fields	https://openalex.org/fields/25	https://openalex.org/W3023854223	https://doi.org/10.1038/347539a0	1990	J. H. Burroughes, Donal D. C. Bradley, Adam R. Brown, R. N. Marks, K. Mackay, Richard H. Friend, Paul L. Burn, Andrew B. Holmes
fields	https://openalex.org/fields/25	https://openalex.org/W2150399639	https://doi.org/10.1038/nmat2317	2008	Wei Wang, Kazuhiko Maeda, Arne Thomas, Kazuhiro Takanabe, Gang Xin, Johan M. Carlsson, Kazunari Domen, Markus Antonietti
fields	https://openalex.org/fields/25	https://openalex.org/W2123605247	https://doi.org/10.1126/science.271.5251.933	1996	A. Paul Alivisatos
fields	https://openalex.org/fields/25	https://openalex.org/W2134233006	https://doi.org/10.1073/pnas.0502848102	2005	Kostya S. Novoselov, Da Jiang, F. Schedin, Timothy J. Booth, V. V. Khotkevich, С. В. Морозов, A. K. Geǐm
fields	https://openalex.org/fields/25	https://openalex.org/W2015642465	https://doi.org/10.1002/elps.1150181505	1997	Nicolas Guex, Manuel C. Peitsch
fields	https://openalex.org/fields/25	https://openalex.org/W2140746165	https://doi.org/10.1021/nn1006368	2010	Daniela C. Marcano, Dmitry V. Kosynkin, Jacob M. Berlin, Alexander Sinitskii, Zhengzong Sun, Alexander Slesarev, Lawrence B. Alemany, Wei Lu, James M. Tour
fields	https://openalex.org/fields/25	https://openalex.org/W1982784029	https://doi.org/10.1021/ja00053a020	1992	Jeffrey S. Beck, J.C. Vartuli, Wiesław J. Roth, M. E. Leonowicz, Charles T. Kresge, Kirk D. Schmitt, Cynthia T-W. Chu, David H. Olson, E. W. Sheppard, S.B. McCullen, John B. Higgins, J.L. Schlenker
fields	https://openalex.org/fields/25	https://openalex.org/W1967652077	https://doi.org/10.1063/1.1992666	2005	Ümit Özgür, Ya. I. Alivov, C. Liu, Ali Teke, M. A. Reshchikov, S. Doğan, V. Avrutin, S.-J. Cho, H. Morkoç̌
fields	https://openalex.org/fields/25	https://openalex.org/W1990170643	https://doi.org/10.1107/s0021889812029111	2012	Louis J. Farrugia
fields	https://openalex.org/fields/25	https://openalex.org/W2092188263	https://doi.org/10.1126/science.1171245	2009	Xuesong Li, Weiwei Cai, Jinho An, Seyoung Kim, Junghyo Nah, Dongxing Yang, Richard D. Piner, Aruna Velamakanni, Inhwa Jung, Emanuel Tutuc, Sanjay K. Banerjee, Luigi Colombo, Rodney S. Ruoff
fields	https://openalex.org/fields/25	https://openalex.org/W2024908520	https://doi.org/10.1063/1.1750380	1939	Melvin Avrami
fields	https://openalex.org/fields/25	https://openalex.org/W2135479172	https://doi.org/10.1039/b917103g	2009	Daniel R. Dreyer, Sungjin Park, Christopher W. Bielawski, Rodney S. Ruoff
fields	https://openalex.org/fields/25	https://openalex.org/W1999937609	https://doi.org/10.1002/anie.200300610	2004	Susumu Kitagawa, Ryo Kitaura, Shin‐ichiro Noro
fields	https://openalex.org/fields/25	https://openalex.org/W2128179591	https://doi.org/10.1107/s0108767383001762	1983	H. D. Flack
fields	https://openalex.org/fields/25	https://openalex.org/W225968618	https://doi.org/10.1016/0032-3861(81)90183-x	1981	M. Gordon
fields	https://openalex.org/fields/25	https://openalex.org/W2142596760	https://doi.org/10.1083/jcb.9.2.409	1961	John H. Luft
fields	https://openalex.org/fields/25	https://openalex.org/W2032842297	https://doi.org/10.1107/s0108768102003890	2002	Frank H. Allen
fields	https://openalex.org/fields/25	https://openalex.org/W2099779584	https://doi.org/10.1038/nature07719	2009	Keun‐Soo Kim, Yüe Zhao, Houk Jang, Sangyoon Lee, Jong Min Kim, Kwang S. Kim, Jong‐Hyun Ahn, Philip Kim, Jae‐Young Choi, Byung Hee Hong
fields	https://openalex.org/fields/25	https://openalex.org/W2094963548	https://doi.org/10.1126/science.1060928	2002	Ray H. Baughman, Anvar Zakhidov, Walt A. de Heer
fields	https://openalex.org/fields/25	https://openalex.org/W2066196783	https://doi.org/10.1063/1.2808028	1995	P. G. de Gennes, Jacques Prost, Robert A. Pelcovits
fields	https://openalex.org/fields/25	https://openalex.org/W4248107770	https://doi.org/10.1016/s0169-409x(96)00423-1	1997	Christopher A. Lipinski, Franco Lombardo, Beryl W. Dominy, Paul J. Feeney
fields	https://openalex.org/fields/25	https://openalex.org/W1987576086	https://doi.org/10.1098/rsta.1921.0006	1921	Alan Arnold Griffith
fields	https://openalex.org/fields/25	https://openalex.org/W2071134066	https://doi.org/10.1126/science.270.5243.1789	1995	Gang Yu, Jun Gao, Jan C. Hummelen, Fred Wudl, Alan J. Heeger
fields	https://openalex.org/fields/25	https://openalex.org/W2061905891	https://doi.org/10.1515/9783112653326-018	1972	N. F. Mott, E. A. Davis, A. Lösche
fields	https://openalex.org/fields/25	https://openalex.org/W2058272047	https://doi.org/10.1063/1.1674108	1970	F. Tuinstra, Jack L. Koenig
fields	https://openalex.org/fields/25	https://openalex.org/W1965464747	https://doi.org/10.1126/science.1228604	2012	Michael M. Lee, Joël Teuscher, Tsutomu Miyasaka, Takurou N. Murakami, Henry J. Snaith
fields	https://openalex.org/fields/25	https://openalex.org/W1572130436		1968	J. P. Hirth, J. Lothe
